provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;161;1;14;28161001_14_6;2022;1;30;1;T;1;T;1;T;1;T;15;T;6;T;4;T;11;T;23;T;36;T;37;T;51;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;1;28171001_1_38;2022;1;30;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;6;28171001_6_48;2022;1;30;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;7;28171001_7_8;2022;1;30;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;2;T;3;T;2;T;2;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;8;28171001_8_8;2022;1;30;10;T;10;T;9;T;8;T;6;T;5;T;6;T;9;T;6;T;5;T;4;T;4;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;9;28171001_9_49;2022;1;30;15;T;16;T;16;T;12;T;11;T;9;T;9;T;10;T;6;T;2;T;7;T;60;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;10;28171001_10_49;2022;1;30;16;T;16;T;14;T;15;T;11;T;9;T;10;T;8;T;11;T;12;T;11;T;9;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;12;28171001_12_8;2022;1;30;12;T;12;T;11;T;10;T;8;T;7;T;8;T;11;T;9;T;9;T;7;T;6;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;14;28171001_14_6;2022;1;30;55;T;53;T;52;T;52;T;56;T;58;T;52;T;45;T;42;T;51;T;65;T;79;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;180;1;7;28180001_7_8;2022;1;30;30;T;21;T;28;T;9;T;3;T;4;T;3;T;8;T;14;T;5;T;2;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;180;1;8;28180001_8_8;2022;1;30;62;T;54;T;49;T;31;T;13;T;22;T;29;T;37;T;42;T;18;T;8;T;6;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;180;1;9;28180001_9_49;2022;1;30;40;T;35;T;29;T;23;T;16;T;13;T;11;T;9;T;17;T;15;T;9;T;4;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;180;1;12;28180001_12_8;2022;1;30;107;T;85;T;92;T;45;T;17;T;28;T;34;T;50;T;64;T;26;T;12;T;8;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;180;1;14;28180001_14_6;2022;1;30;9;T;8;T;13;T;27;T;52;T;42;T;32;T;28;T;27;T;56;T;72;T;83;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;6;28045002_6_48;2022;1;30;0.3;T;0.2;T;0.3;T;0.4;T;0.3;T;0.3;T;0.2;T;0.2;T;0.3;T;0.3;T;0.4;T;0.3;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;7;28045002_7_8;2022;1;30;4;T;1;T;2;T;2;T;3;T;6;T;4;T;5;T;7;T;11;T;14;T;13;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;8;28045002_8_8;2022;1;30;24;T;8;T;16;T;17;T;20;T;26;T;26;T;29;T;34;T;29;T;29;T;28;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;10;28045002_10_49;2022;1;30;21;T;7;T;7;T;10;T;9;T;6;T;6;T;4;T;9;T;8;T;11;T;20;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;12;28045002_12_8;2022;1;30;30;T;10;T;19;T;20;T;25;T;35;T;32;T;35;T;45;T;46;T;50;T;47;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;14;28045002_14_6;2022;1;30;53;T;65;T;58;T;60;T;55;T;53;T;50;T;49;T;43;T;48;T;51;T;53;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;1;28047002_1_38;2022;1;30;2;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;2;T;2;T;1;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;7;28047002_7_8;2022;1;30;55;T;26;T;18;T;12;T;7;T;11;T;23;T;36;T;52;T;61;T;29;T;5;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;8;28047002_8_8;2022;1;30;60;T;52;T;46;T;42;T;38;T;43;T;50;T;56;T;62;T;69;T;50;T;19;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;9;28047002_9_49;2022;1;30;33;T;26;T;21;T;19;T;16;T;12;T;11;T;11;T;12;T;12;T;15;T;13;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;12;28047002_12_8;2022;1;30;145;T;91;T;74;T;59;T;49;T;60;T;85;T;111;T;142;T;162;T;94;T;26;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;14;28047002_14_6;2022;1;30;3;T;2;T;3;T;4;T;7;T;7;T;3;T;3;T;8;T;13;T;38;T;71;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;20;28047002_20_59;2022;1;30;4.8;T;4.1;T;3;T;3.1;T;2.6;T;2.4;T;2;T;2.3;T;3;T;3.9;T;6.4;T;1.1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;30;28047002_30_59;2022;1;30;2.8;T;2.2;T;1.6;T;1.2;T;0.9;T;0.9;T;0.8;T;0.8;T;1.1;T;1.5;T;1.8;T;0.9;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;42;28047002_42_2;2022;1;30;1.6;T;1.6;T;1.6;T;1.6;T;1.6;T;1.5;T;1.5;T;1.5;T;1.5;T;1.5;T;1.4;T;1.4;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;44;28047002_44_2;2022;1;30;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;431;28047002_431_59;2022;1;30;3.1;T;2.8;T;1.7;T;1.4;T;1.1;T;1.1;T;0.8;T;1;T;1.4;T;2.1;T;6.1;T;0.8;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;49;3;7;28049003_7_8;2022;1;30;83;T;47;T;32;T;15;T;19;T;74;T;55;T;76;T;61;T;34;T;19;T;14;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;49;3;8;28049003_8_8;2022;1;30;67;T;55;T;52;T;41;T;47;T;51;T;52;T;54;T;57;T;48;T;36;T;27;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;49;3;9;28049003_9_49;2022;1;30;8;T;14;T;14;T;10;T;9;T;11;T;14;T;16;T;14;T;11;T;10;T;8;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;49;3;10;28049003_10_49;2022;1;30;23;T;29;T;18;T;20;T;11;T;15;T;12;T;20;T;22;T;25;T;19;T;15;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;49;3;12;28049003_12_8;2022;1;30;194;T;126;T;101;T;63;T;75;T;164;T;136;T;170;T;149;T;100;T;65;T;48;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;49;3;14;28049003_14_6;2022;1;30;1;T;2;T;2;T;8;T;4;T;1;T;1;T;2;T;6;T;18;T;32;T;37;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;1;28005002_1_38;2022;1;30;5;T;5;T;5;T;5;T;5;T;5;T;4;T;7;T;15;T;13;T;12;T;11;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;6;28005002_6_48;2022;1;30;0.6;T;0.4;T;0.4;T;0.4;T;0.4;T;0.4;T;0.3;T;0.4;T;0.4;T;0.4;T;0.4;T;0.4;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;7;28005002_7_8;2022;1;30;50;T;6;T;3;T;2;T;4;T;4;T;3;T;4;T;10;T;13;T;12;T;12;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;8;28005002_8_8;2022;1;30;63;T;40;T;28;T;21;T;23;T;19;T;22;T;28;T;32;T;27;T;26;T;27;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;9;28005002_9_49;2022;1;30;21;T;16;T;13;T;10;T;8;T;7;T;6;T;4;T;7;T;8;T;10;T;8;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;10;28005002_10_49;2022;1;30;32;T;28;T;22;T;16;T;12;T;10;T;8;T;6;T;6;T;9;T;12;T;15;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
