lon,lat,locality,year,month,kingdom,class,family,genus,species
-69.757715,43.708583,Seguin Island,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,Bahusiae ad litus parvae insulae [?] kutholmen prope Orust,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
12.55,55.630001,"København, Kalvebod strand",1900,9.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
12.0,55.0,"København, Kalvebod Strand",1900,9.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
-73.790044,40.865974,Pelham Bay,1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-73.790044,40.865974,Pelham Bay,1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-73.790044,40.865974,Pelham Bay,1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-73.790044,40.865974,"Pelham Bay, New York City",1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-73.790044,40.865974,Pelham Bay,1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-73.790044,40.865974,"Pelham Bay, New York City",1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-73.790044,40.87,"Pelham Bay, New York City",1900,9.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
-73.790044,40.865974,"Pelham Bay, New York City",1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-73.790044,40.865974,"Pelham Bay, New York City",1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,Narragansett Pier,1900,9.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
-73.790044,40.865974,"Pelham Bay, New York City",1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-73.790044,40.865974,"Pelham Bay, New York City",1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-71.4495,41.450102,Narragansett Bay,1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-73.790044,40.865974,Pelham Bay,1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-73.790044,40.865974,"Pelham Bay, New York City",1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-73.790044,40.865974,Pelham Bay,1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-73.790044,40.865974,Pelham Bay,1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-73.790044,40.865974,Pelham Bay,1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-69.757715,43.708583,Seguin Island,1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-73.790044,40.865974,Pelham Bay,1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-71.366887,41.690521,Rocky Point,1900,9.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,Narragansett Pier,1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,Anse du Bourg,1900,11.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
,,Presqu'île Saint-Laurent,1900,11.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
8.22,56.700001,Thyborøn,1900,12.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
8.22,56.700001,Thyborøn,1900,12.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
,,den Helder.,1900,12.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
7.88528,54.1825,"Schleswig-Holstein, Helgoland",1900,,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
7.88528,54.1825,"Schleswig-Holstein, Helgoland",1900,,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
17.102524,58.671911,Oxelösund,1900,,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
12.792139,56.667469,Söndrum,1900,,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
,,Royan: Charente inf.,1900,,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
1.31439,51.121124,Nearest Named Place: Dover,1900,,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-0.138059,50.818969,Township: Brighton,1900,,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-152.277719,64.279876,,1900,,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
-0.138059,50.818969,Township: Brighton,1900,,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-0.138059,50.818969,Township: Brighton,1900,,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-0.138059,50.818969,Township: Brighton,1900,,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-71.250326,41.602324,,1900,,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-63.55649,44.49181,Ketch Harbour,1901,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
-97.396381,27.800583,Corpus Christi Bay,1901,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
-71.27472,41.47944,Easton Point,1901,4.0,Chromista,Phaeophyceae,Fucaceae,Fucus,"Fucus spiralis var. platycarpus (Thur.) Batters, 1902"
-71.275441,41.484455,Easton's Point,1901,4.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus platycarpus Thur.
-71.275363,41.478435,"Easton's Point, Newport",1901,4.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-71.275213,41.479705,Easton's Point,1901,4.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus platycarpus Thur.
-76.797421,17.964217,Kingston Harbor,1901,5.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.0,56.0,"Limfjorden, Oddesund Nord",1901,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
8.0,56.0,"Limfjorden, Nissum Bredning, Rønnen outside Lemvig",1901,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
8.0,56.0,"Limfjorden, Vodstrup Hage, Skælholm",1901,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
8.0,56.0,"Limfjorden, Nykøbing, Odden E-side",1901,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
8.57,56.580002,Oddesund,1901,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.57,56.580002,Oddesund,1901,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.87,56.799999,Nykøbing Mors,1901,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.87,56.799999,Nykøbing Mors,1901,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
