,DATE,AvgTemp
422,2/27/2015,42.0
423,2/28/2015,40.0
424,3/1/2015,39.0
425,3/2/2015,38.0
426,3/3/2015,40.0
427,3/4/2015,36.0
428,3/5/2015,41.0
429,3/6/2015,42.0
430,3/7/2015,46.0
431,3/8/2015,39.0
432,3/9/2015,35.0
433,3/10/2015,38.0
434,3/11/2015,34.0
435,3/12/2015,36.0
436,3/13/2015,36.0
437,3/14/2015,39.0
438,3/15/2015,42.0
439,3/16/2015,45.0
440,3/17/2015,47.0
441,3/18/2015,47.0
442,3/19/2015,50.0
443,3/20/2015,50.0
444,3/21/2015,51.0
445,3/22/2015,47.0
446,3/23/2015,48.0
447,3/24/2015,46.0
448,3/25/2015,46.0
449,3/26/2015,47.0
450,3/27/2015,49.0
451,3/28/2015,50.0
452,3/29/2015,48.0
453,3/30/2015,45.0
454,3/31/2015,41.0
455,4/1/2015,41.0
456,4/2/2015,40.0
457,4/3/2015,43.0
458,4/4/2015,45.0
459,4/5/2015,44.0
460,4/6/2015,44.0
461,4/7/2015,40.0
462,4/8/2015,43.0
463,4/9/2015,43.0
464,4/10/2015,42.0
465,4/11/2015,42.0
466,4/12/2015,41.0
467,4/13/2015,45.0
468,4/14/2015,46.0
469,4/15/2015,43.0
470,4/16/2015,41.0
471,4/17/2015,42.0
472,4/18/2015,45.0
473,4/19/2015,49.0
474,4/20/2015,50.0
475,4/21/2015,53.0
476,4/22/2015,50.0
477,4/23/2015,48.0
478,4/24/2015,51.0
479,4/25/2015,50.0
480,4/26/2015,48.0
481,4/27/2015,46.0
482,4/28/2015,44.0
483,4/29/2015,48.0
484,4/30/2015,47.0
485,5/1/2015,45.0
486,5/2/2015,43.0
487,5/3/2015,43.0
488,5/4/2015,48.0
489,5/5/2015,51.0
490,5/6/2015,53.0
491,5/7/2015,50.0
492,5/8/2015,49.0
493,5/9/2015,46.0
494,5/10/2015,44.0
495,5/11/2015,46.0
496,5/12/2015,44.0
497,5/13/2015,39.0
498,5/14/2015,40.0
499,5/15/2015,42.0
500,5/16/2015,45.0
501,5/17/2015,49.0
502,5/18/2015,48.0
503,5/19/2015,47.0
504,5/20/2015,47.0
505,5/21/2015,46.0
506,5/22/2015,49.0
507,5/23/2015,48.0
508,5/24/2015,49.0
509,5/25/2015,52.0
510,5/26/2015,54.0
511,5/27/2015,51.0
512,5/28/2015,52.0
513,5/29/2015,53.0
514,5/30/2015,48.0
515,5/31/2015,46.0
516,6/1/2015,46.0
517,6/2/2015,49.0
518,6/3/2015,48.0
519,6/4/2015,47.0
520,6/5/2015,45.0
521,6/6/2015,46.0
522,6/7/2015,47.0
523,6/8/2015,47.0
524,6/9/2015,46.0
525,6/10/2015,43.0
526,6/11/2015,40.0
527,6/12/2015,41.0
528,6/13/2015,46.0
529,6/14/2015,50.0
530,6/15/2015,52.0
531,6/16/2015,55.0
532,6/17/2015,56.0
533,6/18/2015,56.0
534,6/19/2015,52.0
535,6/20/2015,52.0
536,6/21/2015,53.0
537,6/22/2015,52.0
538,6/23/2015,56.0
539,6/24/2015,51.0
540,6/25/2015,51.0
541,6/26/2015,50.0
542,6/27/2015,47.0
543,6/28/2015,49.0
544,6/29/2015,48.0
545,6/30/2015,48.0
546,7/1/2015,46.0
547,7/2/2015,46.0
548,7/3/2015,47.0
549,7/4/2015,48.0
550,7/5/2015,50.0
551,7/6/2015,52.0
552,7/7/2015,47.0
553,7/8/2015,47.0
554,7/9/2015,47.0
555,7/10/2015,48.0
556,7/11/2015,53.0
557,7/12/2015,52.0
558,7/13/2015,51.0
559,7/14/2015,53.0
560,7/15/2015,55.0
561,7/16/2015,51.0
562,7/17/2015,48.0
563,7/18/2015,48.0
564,7/19/2015,50.0
565,7/20/2015,46.0
566,7/21/2015,43.0
567,7/22/2015,45.0
568,7/23/2015,49.0
569,7/24/2015,51.0
570,7/25/2015,51.0
571,7/26/2015,50.0
572,7/27/2015,50.0
573,7/28/2015,48.0
574,7/29/2015,54.0
575,7/30/2015,56.0
576,7/31/2015,54.0
577,8/1/2015,56.0
578,8/2/2015,49.0
579,8/3/2015,48.0
580,8/4/2015,47.0
581,8/5/2015,50.0
582,8/6/2015,48.0
583,8/7/2015,50.0
584,8/8/2015,54.0
585,8/9/2015,53.0
586,8/10/2015,50.0
587,8/11/2015,47.0
588,8/12/2015,48.0
589,8/13/2015,48.0
590,8/14/2015,50.0
591,8/15/2015,47.0
592,8/16/2015,47.0
593,8/17/2015,48.0
594,8/18/2015,46.0
595,8/19/2015,46.0
596,8/20/2015,45.0
597,8/21/2015,54.0
598,8/22/2015,53.0
599,8/23/2015,51.0
600,8/24/2015,46.0
601,8/25/2015,47.0
602,8/26/2015,49.0
603,8/27/2015,49.0
604,8/28/2015,51.0
605,8/29/2015,51.0
606,8/30/2015,49.0
607,8/31/2015,48.0
608,9/1/2015,51.0
